Common name,Scientific name,GRANK,SRANK,Conservation Status
American bumble bee,Bombus pensylvanicus,G3G4,SNR,D
Ashton's cuckoo bumble bee,Bombus ashtoni,GH,SNR,D
Black and gold bumble bee,Bombus auricomus,G4G5,SU,D
Blackheaded ash sawfly,Tethida barda,GNR,SNR,D
Brownheaded ash sawfly,Tomostethus multicinctus,GNR,SNR,D
Half-black bumble bee,Bombus vagans,G4,S3,C
Lemon cuckoo bumble bee,Bombus citrinus,G4G5,SNR,D
Macropis cuckoo bee,Epeoloides pilosula,G1,SH,E
Oak-grove ant,Formica querquetulana,GNR,SNR,D
Pearly-banded bee,Nomia maneii,GNR,S1S3,B
Rusty-patch bumble bee,Bombus affinis,G1,SNR,D
Sanderson's bumble bee,Bombus sandersoni,G4G5,S3,C
Texas temnothorax ant,Temnothorax texanus,GNR,SNR,D
Variable cuckoo bumble bee,Bombus variabilis,GU,SH,E
Yellowbanded bumble bee,Bombus terricola,G2G4,SNR,D
A cellophane bee,Colletes aestivalis,GNR,SH,E
A cuckoo bee,Nomada rubicunda,GNR,S1S3,B
A dolichoderine ant,Dolichoderus taschenbergi,GNR,SNR,D
A formicine ant,Camponotus impressus,GNR,SNR,D
A fungus-growing ant,Trachymyrmex septentrionalis,GNR,SNR,D
A hairy-tongue bee,Lasioglossum arantium,GNR,S2S3,B
A hairy-tongue bee,Lasioglossum georgeickworti,GNR,SNR,D
A hairy-tongue bee,Lasioglossum marinum,GNR,SU,D
A hairy-tongue bee,Lasioglossum nymphale,GNR,S2S3,B
A hairy-tongue bee,Lasioglossum rahleighense,GNR,SU,D
A mason bee,Osmia chalybea,G4,S1S3,B
A mining bee,Andrena braccata,GNR,SU,D
A mining bee,Andrena fulvipennis,GNR,SU,D
A mining bee,Protandrena abdominalis,GNR,SU,D
A myrmicine ant,Leptothorax muscorum,GNR,SNR,D
A myrmicine ant,Myrmica pinetorum,GNR,SNR,D
A sweat bee,Dieunomia heteropoda,GNR,SU,D
A sweat bee,Dieunomia nevadensis,GNR,SU,D
A temnothorax ant,Temnothorax pergandei,GNR,SNR,D
An oil-collecting bee,Macropis ciliata,GNR,S1,A
An oil-collecting bee,Macropis patellata,GNR,SH,E
